iter	Ve_CDCVGmol(1)	Ve_CLivDCVGmol(1)	Ve_CKidDCVGmol(1)	Ve_CBrnDCVGmol(1)	Ve_CDCVCmol(1)	Ve_CKidDCVCmol(1)	Ve_CBrnDCVCmol(1)	Ve_CNDCVCmol(1)	Ve_CLivNDCVCmol(1)	Ve_CKidNDCVCmol(1)	Ve_CBrnNDCVCmol(1)	M_lnkDCVCC(1)	M_lnkElimNDCVCC(1)	M_lnISkNDCVC(1)	V_lnkDCVCC(1)	V_lnkElimNDCVCC(1)	V_lnISkNDCVC(1)	lnkDCVCC(1.1)	lnkElimNDCVCC(1.1)	lnISkNDCVC(1.1)	lnkDCVCC(1.2)	lnkElimNDCVCC(1.2)	lnISkNDCVC(1.2)	lnkDCVCC(1.3)	lnkElimNDCVCC(1.3)	lnISkNDCVC(1.3)	lnkDCVCC(1.4)	lnkElimNDCVCC(1.4)	lnISkNDCVC(1.4)	LnPrior	LnData	LnPosterior
3400	1.01471	1.17488	0.668799	0.611787	0.693847	0.86131	0.939525	0.260132	0.456454	1.27712	0.396586	-2.48458	-1.55556	4.01881	0.218022	0.0835988	1.29985	-1.92888	-1.97164	4.32149	-1.6371	-1.52045	3.60998	-2.38648	-1.75731	4.23116	-2.05732	-1.22949	1.68185	-2.299439e+01	-3.383382e+02	-3.613326e+02
3500	1.08773	1.20254	0.918123	0.764571	0.512658	0.922927	0.848057	0.406532	0.587183	0.845953	0.327988	-2.34573	-1.47898	4.52682	0.241731	0.188274	1.08857	-1.96911	-2.014	4.31465	-1.38987	-1.80975	4.27453	-1.88	-1.77786	4.48619	-2.97027	-1.46618	4.09856	-2.262100e+01	-3.430155e+02	-3.656365e+02
3600	1.09919	1.10324	0.666563	0.818374	0.66326	0.707074	0.636861	0.313417	0.406329	0.945644	0.428009	-1.42137	-2.1327	4.34026	0.224196	0.120171	3.45721	-1.78819	-2.07053	4.45539	-1.53877	-2.15266	4.17625	-2.10036	-1.90318	4.21969	-1.58207	-1.80519	3.18866	-2.059089e+01	-3.359748e+02	-3.565657e+02
3700	0.971109	1.0866	0.619926	0.752391	0.516607	0.900577	0.70348	0.286801	0.45457	0.797625	0.429048	-2.01499	-1.3745	4.29108	0.132341	0.360684	2.3018	-2.25929	-1.62709	3.5254	-2.23034	-1.03957	2.29778	-2.33597	-0.505458	3.29299	-1.80997	-0.794093	0.848006	-2.543605e+01	-3.363255e+02	-3.617615e+02
3800	0.972761	1.09795	0.606164	0.761842	0.502637	0.855467	0.822222	0.300129	0.621045	0.756864	0.567625	-2.29461	-0.522157	0.63319	0.261744	0.0910793	1.9425	-2.37267	0.100935	1.74041	-1.69914	-0.293219	2.11912	-1.97484	-0.420117	3.33935	-2.60667	-0.803142	-0.817206	-2.632141e+01	-3.353618e+02	-3.616832e+02
3900	1.03817	1.04112	0.713494	0.595838	0.677046	0.745984	0.501248	0.264027	0.623893	0.917792	0.460317	-2.07253	-0.767874	2.66162	0.306212	0.196685	0.752965	-2.15987	-0.745683	2.83037	-1.76371	0.0304356	2.20552	-2.87427	-0.397052	2.45497	-2.39952	-0.434451	2.15019	-2.439030e+01	-3.405060e+02	-3.648963e+02
4000	1.04596	1.17014	0.676704	0.635481	0.637968	0.746587	0.808842	0.374704	0.420715	1.08347	0.359355	-1.65509	-0.583349	2.83827	0.123002	0.102115	2.125	-1.95279	-0.511377	3.08157	-1.45504	-0.804773	2.89365	-1.75089	-0.216791	3.48591	-1.29447	0.129901	3.16706	-2.095045e+01	-3.402409e+02	-3.611913e+02
4100	1.03294	1.06691	0.697208	0.724236	0.553192	0.800924	0.648413	0.238131	0.445901	0.685897	0.573356	-2.14773	-0.686024	3.35446	0.318898	0.0476414	3.99594	-2.24972	-0.542898	2.57605	-1.54469	-0.748323	2.65431	-2.52186	-0.933451	3.17001	-1.99196	-0.454975	2.25688	-2.267397e+01	-3.340172e+02	-3.566912e+02
4200	0.968933	0.994216	0.723553	0.728392	0.460588	0.746068	0.944484	0.39946	0.341577	0.792063	0.335401	-1.98334	-0.489823	4.59504	0.0606103	0.210827	5.51017	-2.20059	0.352079	1.66788	-1.80563	-1.23198	3.10982	-2.11626	-0.0559172	2.66893	-2.15596	-0.443603	2.01084	-2.437850e+01	-3.385334e+02	-3.629119e+02
4300	1.08059	1.25581	0.946934	0.636584	0.351509	1.07767	0.802418	0.297149	0.368469	0.851188	0.526269	-2.34614	-0.936435	3.59568	0.151631	0.258617	3.66413	-2.31623	-1.22851	3.26346	-1.32455	-2.04894	4.27547	-2.73676	-1.52197	3.82891	-2.10923	-0.880082	2.44511	-2.848869e+01	-3.459186e+02	-3.744072e+02
4400	1.08098	1.12726	0.638619	0.819884	0.53387	1.12664	0.57932	0.497758	0.451114	0.837629	0.611193	-1.88053	-0.806593	4.39909	0.119915	0.0682701	3.496	-1.90608	-1.05978	3.12011	-1.73269	-0.713171	2.93025	-1.77404	-0.669156	3.25925	-1.7255	-0.950865	1.97477	-1.873099e+01	-3.417425e+02	-3.604735e+02
4500	0.997119	1.21672	0.62753	0.486832	0.666601	0.811172	0.735294	0.299331	0.512207	0.921371	0.479896	-2.32125	0.115168	3.19151	1.66519	0.146944	2.38021	-2.51373	0.468049	1.30573	-1.19451	0.586997	1.50897	-2.25507	0.0430759	2.82585	-1.49433	0.375119	0.0690392	-3.386649e+01	-3.374696e+02	-3.713361e+02
4600	1.09488	1.12169	0.710136	1.02509	0.573472	0.732489	0.640134	0.477932	0.250546	1.04647	0.487857	-2.0028	0.371232	3.00569	0.177078	0.319175	15.3609	-2.01126	1.0342	1.16121	-1.63426	0.204602	1.85274	-2.43462	-0.359289	3.32018	-1.82131	-0.0809244	1.60793	-3.162862e+01	-3.406890e+02	-3.723176e+02
4700	0.977424	1.03273	0.518037	0.766486	0.63529	0.828061	0.584121	0.334491	0.36599	0.824927	0.493657	-1.95593	0.361908	2.44846	0.074998	0.0871601	5.85746	-2.29523	0.285569	1.22551	-1.66012	0.698348	1.30393	-2.12494	0.473129	2.01102	-1.74335	-0.140045	1.83706	-2.212220e+01	-3.385899e+02	-3.607121e+02
4800	1.07447	1.07513	0.786755	0.709749	0.569295	0.721534	0.833202	0.317024	0.415936	0.904861	0.446625	-2.91384	1.07255	-2.80985	0.182988	0.253292	12.1069	-2.54022	1.122	0.700475	-2.06688	0.384252	1.42288	-2.91035	2.01105	-0.443145	-2.325	0.977173	-4.42343	-3.415488e+01	-3.376123e+02	-3.717672e+02
4900	0.960942	0.964022	0.661972	0.579393	0.631767	0.960961	0.686484	0.306856	0.575395	0.915786	0.524936	-2.13307	1.00251	0.291262	0.197375	0.118241	2.57095	-2.50545	0.23261	1.58872	-1.57312	1.25576	0.601726	-2.73583	1.06735	0.855047	-2.29385	0.444207	-0.776779	-2.612273e+01	-3.370924e+02	-3.632151e+02
5000	0.989749	0.942616	0.702695	1.02638	0.544848	0.867414	0.637863	0.325876	0.450008	0.650929	0.469881	-2.29436	0.739414	-0.178661	0.236877	0.12402	2.84844	-2.42182	1.25217	0.598988	-1.39369	0.941012	1.03899	-2.88817	1.25442	0.14425	-2.11525	0.22001	-0.568839	-2.643753e+01	-3.374250e+02	-3.638625e+02
5100	1.25568	1.21886	0.654592	0.873088	0.538017	0.856891	0.76323	0.400637	0.627934	0.917306	0.734552	-2.19951	1.56861	-0.532966	0.154008	0.210448	2.43677	-2.54149	1.85487	-0.490219	-1.87491	1.81218	-0.614856	-2.61672	1.22319	0.0593529	-1.97332	1.20546	-1.85394	-2.432483e+01	-3.413530e+02	-3.656778e+02
5200	1.1616	1.16289	0.664136	0.781264	0.718837	0.778485	0.59543	0.292456	0.586253	0.820378	0.472671	-2.126	1.80229	-2.04598	0.47959	0.138118	4.83805	-2.03893	1.59967	0.401901	-1.65696	1.68941	0.0425712	-2.70398	1.34511	0.473577	-1.10322	1.74621	-2.10749	-2.988875e+01	-3.375651e+02	-3.674538e+02
5300	0.972573	1.12967	0.619321	0.934302	0.567145	0.904293	0.696523	0.512414	0.570003	0.771357	0.328776	-2.04465	2.57149	1.94351	0.107626	0.049668	5.60722	-2.38211	2.76248	-0.782991	-1.56615	2.76453	-0.639824	-2.50087	2.39611	-0.220469	-2.15375	2.41257	1.02664	-2.492990e+01	-3.361706e+02	-3.611005e+02
5400	1.10813	1.0677	0.729677	0.866644	0.888835	0.743314	0.87795	0.47331	0.323564	0.70572	0.504423	-1.89555	3.15793	-1.39324	0.0538054	0.0687043	0.648033	-2.0317	3.27707	-1.33889	-1.69606	3.55246	-1.64381	-1.94209	3.58933	-0.803145	-1.78598	2.87107	-1.67332	-1.913442e+01	-3.398225e+02	-3.589570e+02
