iter	Ve_CDCVGmol(1)	Ve_CLivDCVGmol(1)	Ve_CKidDCVGmol(1)	Ve_CBrnDCVGmol(1)	Ve_CDCVCmol(1)	Ve_CKidDCVCmol(1)	Ve_CBrnDCVCmol(1)	Ve_CNDCVCmol(1)	Ve_CLivNDCVCmol(1)	Ve_CKidNDCVCmol(1)	Ve_CBrnNDCVCmol(1)	M_lnkDCVCC(1)	M_lnkElimNDCVCC(1)	M_lnISkNDCVC(1)	V_lnkDCVCC(1)	V_lnkElimNDCVCC(1)	V_lnISkNDCVC(1)	lnkDCVCC(1.1)	lnkElimNDCVCC(1.1)	lnISkNDCVC(1.1)	lnkDCVCC(1.2)	lnkElimNDCVCC(1.2)	lnISkNDCVC(1.2)	lnkDCVCC(1.3)	lnkElimNDCVCC(1.3)	lnISkNDCVC(1.3)	lnkDCVCC(1.4)	lnkElimNDCVCC(1.4)	lnISkNDCVC(1.4)	LnPrior	LnData	LnPosterior
3400	1.08067	1.17717	0.787897	0.666474	0.604374	0.826979	0.909004	0.333094	0.315485	0.754754	0.38732	-2.07148	-1.25009	4.0531	0.124163	0.0961823	2.79304	-2.16629	-1.1297	3.33758	-1.52733	-1.16976	3.02909	-1.84674	-0.941618	3.6402	-1.64094	-0.757239	3.12882	-1.992625e+01	-3.372501e+02	-3.571763e+02
3500	1.05562	1.13249	0.919363	0.65696	0.577312	0.837202	1.10464	0.651661	0.446099	0.824437	1.16187	-2.97792	-1.12077	2.40749	0.305094	0.153176	4.3226	-2.72824	-0.890572	2.55065	-1.86608	-0.786905	1.45913	-3.6634	-1.2014	-0.951274	-1.96753	-1.92757	-1.50135	-3.563816e+01	-3.458641e+02	-3.815023e+02
3600	1.00822	1.1534	0.686304	0.787491	0.582522	0.987627	0.673925	0.709957	0.384241	1.14044	0.61194	-1.64326	-1.80832	3.78603	0.123757	0.43738	1.25919	-1.83172	-1.42747	3.65535	-1.28545	-1.49882	3.59982	-1.65367	-0.770473	3.98855	-1.04264	-1.76419	3.76878	-2.488609e+01	-3.395213e+02	-3.644074e+02
3700	0.939569	1.16597	0.570216	0.755828	0.494325	0.868215	0.633773	0.409519	0.448029	0.919728	0.525818	-2.42441	-0.392341	3.44243	0.224536	0.18951	1.79213	-2.70337	-0.0121067	1.92513	-1.44287	-1.0605	3.05358	-2.61911	0.0995423	1.901	-1.79567	-0.597304	2.07278	-2.669436e+01	-3.354901e+02	-3.621845e+02
3800	1.15896	0.982667	0.756187	0.962162	0.481317	0.722529	0.785729	0.425281	0.353068	1.14563	0.450909	-2.26205	-0.186789	2.57418	0.133633	0.136588	1.07837	-2.19458	0.0604785	2.33789	-1.46006	-0.304308	2.54685	-1.72937	0.17051	2.78769	-1.84482	-1.01958	2.61058	-2.420446e+01	-3.391267e+02	-3.633311e+02
3900	1.09438	1.08809	0.76118	0.780318	0.51466	0.830986	0.938759	0.312003	0.405108	0.816993	0.788761	-2.55422	0.55398	0.829869	0.193433	0.0936215	4.52521	-2.38529	0.487876	1.28946	-1.92316	0.822341	1.19846	-2.6474	0.374488	2.15954	-2.22849	-0.205984	0.714322	-2.652324e+01	-3.383399e+02	-3.648632e+02
4000	1.07387	1.0292	0.693409	0.886119	0.432896	0.850954	0.52167	0.813656	0.453267	0.870812	0.541033	-1.55322	1.21121	1.69081	0.310177	0.201537	0.753213	-1.83563	0.90889	1.38105	-1.2717	1.1413	1.04482	-2.06082	0.229468	2.36624	-1.00554	0.96602	1.38897	-2.624644e+01	-3.401988e+02	-3.664452e+02
4100	1.03157	1.06407	0.857797	0.779201	0.513821	0.790997	0.608311	0.589682	0.537668	0.609293	0.630161	-1.89163	1.65811	-0.337368	0.447397	0.324454	1.61651	-2.51772	1.01151	-0.518879	-1.32797	1.34467	0.0698239	-2.23007	2.47726	0.0341045	-1.5094	1.79559	-1.32406	-2.892060e+01	-3.404347e+02	-3.693553e+02
4200	0.889773	1.02169	0.694541	1.02021	0.545693	0.830152	1.30702	0.253645	0.270451	0.993209	0.338356	-1.55587	1.86586	1.07765	0.105156	0.130119	2.841	-2.3072	1.85887	0.193672	-1.65743	1.44601	0.593815	-1.91214	1.70897	1.37107	-1.93565	1.89321	-0.706453	-2.306960e+01	-3.437012e+02	-3.667708e+02
4300	1.08903	1.16993	0.640466	0.874183	0.487713	0.86248	0.848917	0.558389	0.4841	1.10292	0.407651	-2.10956	2.30199	-1.19036	0.0776695	0.39582	1.42741	-1.49809	2.71639	0.278046	-2.24145	2.36038	-0.866444	-2.56867	2.57879	-0.328745	-2.32524	2.04898	-3.83638	-2.874043e+01	-3.421652e+02	-3.709056e+02
4400	1.17469	1.03302	0.631932	0.688809	0.427009	0.845283	0.650536	0.307593	0.309227	0.932722	0.632884	-2.05569	3.19083	-1.36762	0.273967	0.128394	4.76831	-2.23617	3.00088	-0.789147	-1.46428	4.00621	-1.82051	-2.67578	3.64275	-0.539138	-1.38637	3.299	-3.08222	-2.844995e+01	-3.389436e+02	-3.673935e+02
4500	1.00571	1.14074	0.634659	0.685707	0.541194	0.877203	0.659616	0.319612	0.463422	0.811483	0.487522	-2.03846	3.23835	-0.746156	0.194194	0.238362	2.23254	-2.44545	2.78893	-0.964484	-1.6674	3.41577	-1.8462	-2.27608	2.81763	-0.371048	-1.13082	2.95133	-2.22334	-2.564634e+01	-3.335957e+02	-3.592421e+02
4600	0.922745	1.17051	0.711176	0.703735	0.670237	1.06158	0.921533	0.286391	0.449304	0.893971	0.513545	-2.11039	3.50303	-1.84448	0.17218	0.284124	2.92226	-2.12525	3.40953	-1.31232	-1.94557	3.17856	-1.78869	-2.44388	3.24551	-0.675386	-2.19198	4.10328	-4.3083	-2.518774e+01	-3.388517e+02	-3.640394e+02
4700	1.02344	1.01515	0.651664	0.42512	0.59537	0.913799	1.0972	0.290616	0.449441	0.888559	0.512069	-1.53974	3.5516	-1.39036	0.284605	0.591625	3.79859	-2.18235	2.90253	-0.626696	-1.22302	3.4327	-1.03744	-1.66705	3.58333	-0.498904	-1.97442	4.36833	-3.07942	-3.045785e+01	-3.392376e+02	-3.696955e+02
4800	1.08354	1.12641	0.827412	0.752272	0.540969	0.897106	0.507698	0.484946	0.351641	0.893816	0.471177	-1.81159	3.20231	-1.38375	0.238667	0.0547714	1.71082	-2.17802	3.16272	-1.02178	-1.69584	3.48596	-1.53435	-1.9185	2.89864	-0.120713	-1.89242	3.11688	-1.75316	-2.044689e+01	-3.375049e+02	-3.579518e+02
4900	1.06725	1.12796	0.882012	0.75222	0.826457	0.824402	0.660338	0.311552	0.400767	0.691257	0.726936	-2.44174	3.26642	-2.10495	0.218923	0.317745	1.13858	-2.45101	2.96643	-1.27047	-1.63167	3.39628	-1.53454	-2.02202	3.23504	-0.893404	-2.51453	3.59072	-3.76313	-2.641570e+01	-3.415662e+02	-3.679819e+02
5000	1.07426	1.10539	0.887825	0.580849	0.664204	0.889497	0.606194	0.702446	0.415401	0.637594	0.621511	-2.31221	2.10906	0.952361	0.390539	0.306806	1.58038	-2.22694	2.58843	-1.05069	-1.12862	0.572028	0.889152	-2.08233	2.00612	1.15472	-2.39302	1.52132	-1.02317	-3.400880e+01	-3.440249e+02	-3.780337e+02
