Level	Simulation	Output_Var	Time	Data	Prediction
1_2_1	6	lnCPL_APAP_mcgL	6	8.3825	8.4894
1_2_1	6	lnCPL_APAP_mcgL	7	8.197	8.19486
1_2_1	6	lnCPL_APAP_mcgL	8	7.9374	7.89952
1_2_1	6	lnCPL_APAP_mcgL	9	-1	7.60359
1_2_1	6	lnCPL_APAP_mcgL	10	-1	7.30721
1_2_1	6	lnCPL_APAP_mcgL	11	-1	7.01051
1_2_1	6	lnCPL_APAP_mcgL	12	-1	6.71356

1_2_1	6	lnCPL_AG_mcgL	0.5	8.3168	8.46873
1_2_1	6	lnCPL_AG_mcgL	1	9.4047	9.34509
1_2_1	6	lnCPL_AG_mcgL	1.5	9.6884	9.68409
1_2_1	6	lnCPL_AG_mcgL	2	9.8343	9.83157
1_2_1	6	lnCPL_AG_mcgL	3	9.8896	9.88684
1_2_1	6	lnCPL_AG_mcgL	4	9.8319	9.79766
1_2_1	6	lnCPL_AG_mcgL	5	9.6924	9.63838
1_2_1	6	lnCPL_AG_mcgL	6	9.5144	9.43815
1_2_1	6	lnCPL_AG_mcgL	7	9.2735	9.21144
1_2_1	6	lnCPL_AG_mcgL	8	9.0257	8.96658
1_2_1	6	lnCPL_AG_mcgL	9	8.8558	8.70879
1_2_1	6	lnCPL_AG_mcgL	10	8.7345	8.44154
1_2_1	6	lnCPL_AG_mcgL	11	-1	8.16725

1_2_1	6	lnCPL_AS_mcgL	0.5	8.4314	8.36388
1_2_1	6	lnCPL_AS_mcgL	1	8.9362	8.79618
1_2_1	6	lnCPL_AS_mcgL	1.5	9.0191	8.94037
1_2_1	6	lnCPL_AS_mcgL	2	8.9872	8.98538
1_2_1	6	lnCPL_AS_mcgL	3	8.9158	8.9435
1_2_1	6	lnCPL_AS_mcgL	4	8.7388	8.81089
1_2_1	6	lnCPL_AS_mcgL	5	8.5682	8.62776
1_2_1	6	lnCPL_AS_mcgL	6	8.3765	8.41262
1_2_1	6	lnCPL_AS_mcgL	7	8.204	8.17581
1_2_1	6	lnCPL_AS_mcgL	8	7.964	7.92367
1_2_1	6	lnCPL_AS_mcgL	9	7.7515	7.66039
1_2_1	6	lnCPL_AS_mcgL	10	7.5234	7.38888
1_2_1	6	lnCPL_AS_mcgL	11	-1	7.11118

1_2_1	6	lnCU_APAP_mcg	24	11.0144	10.9538

1_2_1	6	lnCU_AG_mcg	24	14.0271	14.3963

1_2_1	6	lnCU_AS_mcg	24	13.2422	13.1787


1_2_2	7	lnCPL_APAP_mcgL	0.25	8.3405	8.62076
1_2_2	7	lnCPL_APAP_mcgL	0.5	8.0456	8.95789
1_2_2	7	lnCPL_APAP_mcgL	1	8.5271	9.19328
1_2_2	7	lnCPL_APAP_mcgL	1.5	9.0607	9.23793
1_2_2	7	lnCPL_APAP_mcgL	2	9.0927	9.20002
1_2_2	7	lnCPL_APAP_mcgL	3	9.0466	9.0079
1_2_2	7	lnCPL_APAP_mcgL	4	8.8393	8.74323
1_2_2	7	lnCPL_APAP_mcgL	6	8.2188	8.13452
1_2_2	7	lnCPL_APAP_mcgL	8	7.5704	7.49143
1_2_2	7	lnCPL_APAP_mcgL	10	-1	6.83942
1_2_2	7	lnCPL_APAP_mcgL	12	-1	6.18493

1_2_2	7	lnCPL_AG_mcgL	0.25	6.2383	5.73496
1_2_2	7	lnCPL_AG_mcgL	0.5	6.9276	7.09049
1_2_2	7	lnCPL_AG_mcgL	1	8.1831	8.271
1_2_2	7	lnCPL_AG_mcgL	1.5	8.7749	8.861
1_2_2	7	lnCPL_AG_mcgL	2	9.1485	9.21334
1_2_2	7	lnCPL_AG_mcgL	3	9.5819	9.57533
1_2_2	7	lnCPL_AG_mcgL	4	9.705	9.69834
1_2_2	7	lnCPL_AG_mcgL	6	9.5956	9.59602
1_2_2	7	lnCPL_AG_mcgL	8	9.1788	9.2539
1_2_2	7	lnCPL_AG_mcgL	10	8.6945	8.78761
1_2_2	7	lnCPL_AG_mcgL	12	-1	8.25084

1_2_2	7	lnCPL_AS_mcgL	0.25	6.2383	6.1284
1_2_2	7	lnCPL_AS_mcgL	0.5	6.5482	7.02721
1_2_2	7	lnCPL_AS_mcgL	1	7.6917	7.73515
1_2_2	7	lnCPL_AS_mcgL	1.5	8.1577	8.06484
1_2_2	7	lnCPL_AS_mcgL	2	8.3939	8.24746
1_2_2	7	lnCPL_AS_mcgL	3	8.5773	8.40176
1_2_2	7	lnCPL_AS_mcgL	4	8.5679	8.40904
1_2_2	7	lnCPL_AS_mcgL	6	8.2242	8.21079
1_2_2	7	lnCPL_AS_mcgL	8	7.7187	7.8664
1_2_2	7	lnCPL_AS_mcgL	10	7.2226	7.44369
1_2_2	7	lnCPL_AS_mcgL	12	-1	6.97262

1_2_2	7	lnCU_APAP_mcg	0	-1	-20

